"id","name","latitude","longitude","price_level","rating","review_count","distance","neigh_id","neighbourhood","type","cuisine","size_level"
"saijdv-vXJrvsCfvr7SZOw","Katsuya",43.65995,-79.37882,"Medium",4.4,545,3847.51156984621,"168","Downtown Yonge East","Other","East Asian","Medium Chain"
"6hGEIpALyUhte4grCY8Hog","The Opium Bar",43.64928,-79.42628,NA,4.3,23,545.146227643332,"084","Little Portugal","Bar","East Asian","Single Location"
"5UgSHCX-V0iXagxUZ9LEXg","Her Chef",43.66457,-79.41292,"Medium",4.6,69,2252.70534393595,"080","Palmerston-Little Italy","Other","East Asian","Single Location"
"PwyLszmQF28p-84afsbAOA","Hakka Wok Hei",43.6501366,-79.4502818,NA,5,4,2316.24335007634,"086","Roncesvalles","Other","South Asian","Single Location"
"domzjJcaFF_R693W4SM8jg","Bảnk Bao",43.655946,-79.39889,NA,4.4,14,2211.28317185885,"078","Kensington-Chinatown","Other","East Asian","Single Location"
"pZ5Xqo784Ppkol2WERFWBA","Jaffna Street Food",43.6543,-79.39041,NA,4.7,6,2730.52650077424,"078","Kensington-Chinatown","Fast Food","South Asian","Single Location"
"3aTV63AWpUObtZhrFAp5nA","Three Monks and a Duck",43.64605,-79.40897,NA,3.9,85,1065.63231213527,"162","West Queen West","Bar","East Asian","Single Location"
"snw9iNNLpFYZeHotW00uVA","Lee",43.6471911512614,-79.3993497,"High",4.1,795,1850.59148732273,"164","Wellington Place","Other","East Asian","Single Location"
"dy0O7DaSUd49NZWSEtvz_g","Foxley Bistro and Bar",43.64865,-79.42024,"High",4.1,144,387.99395422274,"081","Trinity-Bellwoods","Bar","East Asian","Single Location"
"BUYhAuPrKRVGov12Q8vsIw","Soya Mandarin Kitchen",43.65588,-79.39329,NA,4.1,47,2599.31951692102,"078","Kensington-Chinatown","Other","East Asian","Single Location"
"cO1k0ZuTbY4ppXDbClGhZA","Silk Road Lounge & Restaurant",43.64503,-79.41608,NA,4.3,12,497.813491900203,"081","Trinity-Bellwoods","Bar","East Asian","Single Location"
"gcD74zZvgd_sAO0R1o4waQ","Garleek Kitchen",43.64046,-79.43811,"Medium",4.6,60,1397.86817516508,"086","Roncesvalles","Brunch/Breakfast","South Asian","Single Location"
"lIGkmfP13Kb4VjbiCgj0Xg","Jade",43.673972,-79.3959985889549,NA,5,3,3807.30118799876,"095","Annex","Other","East Asian","Single Location"
"7i0kkZ79MMkI59qCGilltQ","Norling",43.6403518512511,-79.4385082,"Low",4.1,74,1428.45638717281,"086","Roncesvalles","Other","South Asian","Single Location"
"b7wUWVV01xaa7E0FUNMDiw","DaiLo",43.65574,-79.4098,"High",4.2,349,1522.43455635809,"081","Trinity-Bellwoods","Other","East Asian","Single Location"
"5aYSFNex10jLwTp9mrIZeA","Yubu",43.6586799943055,-79.3950836732984,NA,4,11,2631.75828664491,"078","Kensington-Chinatown","Bar","East Asian","Small Chain"
"n2NRR4N-kmeDvhHJivHGkA","Gyu-Kaku Japanese BBQ",43.6516056,-79.3748825442444,"High",4.1,223,3869.82025907278,"168","Downtown Yonge East","Bar","East Asian","Single Location"
"Vsdbh4cpYb4ZS4AaJSA2Nw","Poong Moon",43.79058,-79.41854,"Medium",4.4,47,16132.6060678879,"036","Newtonbrook West","Other","East Asian","Single Location"
"K5Q2vkF5UpytV9Q1rB-5Yg","Akira Back",43.64541,-79.3923,"Very High",4,230,2388.43504315728,"164","Wellington Place","Other","East Asian","Single Location"
"4eqHtgdXEPG6V-Jzy0MhKw","Miss Things",43.6414601,-79.431879,"High",3.4,168,895.634632477694,"085","South Parkdale","Bar","East Asian","Single Location"
"CajgenexIctPku94HnkSow","Mikaku Udon Bar",43.6639110039464,-79.3685874492667,NA,4.7,12,4777.67111927246,"073","Moss Park","Brunch/Breakfast","East Asian","Single Location"
"yP71_LfUPnGIRqA2g09RoQ","Lake Inez",43.67234,-79.32064,"High",4.4,115,8699.59268452159,"065","Greenwood-Coxwell","Bar","East Asian","Single Location"
"smCdDkC7aWPrpquxhuxSXg","Poppadum",43.672472,-79.3879,NA,4.8,9,4080.06171039005,"095","Annex","Street Food","South Asian","Single Location"
